Layer,Name,GEOID,Population,Longitude,Latitude,HCSOP_2023-2024,HCSOPP_2023-2024,PCT-W_2020-2024,POP_2020-2024,VRDID_2020-2024,VRDIDR_2020-2024,VRDO_2020-2024,VRDOR_2020-2024,EMSOD_2023,MEOD_2023,MEODL_2023,MEODR_2023,CZD_2021-2025
,,,,,,"Prescription opiate misuse (count of adults), 2023-2024","Prescription opiate misuse rate (% of adults), 2023-2024","Demographics, White (Non-Hispanic) (% of residents), 2020-2024","Population (residents), 2020-2024","Drug-induced mortality (count of deaths), 2020-2024","Drug-induced mortality rate (per 100,000 population), 2020-2024","Drug overdose mortality (count of deaths), 2020-2024","Drug overdose mortality rate (per 100,000 population), 2020-2024","Opioid-related overdoses (count of EMS responses), 2023","Opioid-related overdose mortality (count of deaths), 2023","Opioid-related overdose mortality (Chicago location) (count of deaths), 2023","Opioid-related overdose mortality rate (per 100,000 population), 2023","Drug abuse (crimes), 2021-2025"
Community area,Rogers Park,1,55454,-87.67017100,42.00963000,,,44.90256848483232,54023.51404694976,108.0,36.0,106.0,35.3,136.0,26.0,33.0,41.1,60.87564687319646
Community area,Norwood Park,10,41069,-87.80345100,41.98524800,,,71.70275824355703,42638.430864951515,32.0,16.2,30.0,15.3,18.0,2.0,3.0,4.7,9.017990589172369
Community area,Jefferson Park,11,26201,-87.77116500,41.97883600,,,55.98983052265246,26634.542326773037,24.0,18.2,24.0,18.2,23.0,6.0,7.0,23.4,13.38374547127953
Community area,Forest Glen,12,19579,-87.75835800,41.99393800,,,70.6717970991724,19886.375072714927,10.0,13.6,10.0,13.6,7.0,0.0,0.0,0.0,4.810867765903259
Community area,North Park,13,17522,-87.72357800,41.98365100,,,44.949540627489824,18307.61022482388,11.0,12.2,11.0,12.2,17.0,1.0,1.0,3.4,11.94825006559281
Community area,Albany Park,14,48549,-87.72155800,41.96807800,,,34.35976830194555,45707.82125877903,52.0,20.5,51.0,20.0,32.0,4.0,3.0,7.8,31.081330644554697
Community area,Portage Park,15,63038,-87.76340100,41.95404300,,,46.43751774305677,63049.27293122433,89.0,27.4,88.0,27.1,57.0,12.0,10.0,18.2,56.406583431575214
Community area,Irving Park,16,51911,-87.72345700,41.95358900,,,45.8835648244872,53301.720432851886,56.0,20.2,56.0,20.2,39.0,14.0,10.0,24.0,36.79125069218666
Community area,Dunning,17,43120,-87.80601500,41.94652200,,,51.58326008808807,41208.045989819395,49.0,22.3,48.0,22.0,19.0,10.0,10.0,19.9,16.193993431249122
Community area,Montclare,18,14412,-87.79803300,41.92930600,,,28.995983432601133,14290.310832940955,19.0,26.6,19.0,26.6,13.0,3.0,4.0,20.0,3.602276685997598
Community area,Belmont Cragin,19,78151,-87.76550200,41.92727500,1200.0,2.314834848,12.994743215862153,72131.65463459128,117.0,29.5,116.0,29.3,81.0,21.0,19.0,26.4,70.63415203603411
Community area,West Ridge,2,77139,-87.69501700,42.00158300,,,39.876282608973604,78390.30821852958,61.0,16.1,61.0,16.1,46.0,5.0,5.0,7.0,28.772115585312388
Community area,Hermosa,20,24127,-87.73474100,41.92435300,,,9.575500936480141,22644.717835658757,35.0,29.6,35.0,29.6,30.0,6.0,4.0,23.5,18.25370973442992
Community area,Avondale,21,36245,-87.71121900,41.93867300,,,38.03010902144037,35520.9017778837,51.0,28.1,49.0,26.8,43.0,7.0,6.0,19.3,18.60349784599283
Community area,Logan Square,22,71742,-87.69914900,41.92276800,,,52.65145953693538,71426.58839418365,97.0,29.8,96.0,29.3,79.0,13.0,12.0,21.3,30.47603904421697
Community area,Humboldt Park,23,53832,-87.72091700,41.90008000,,,12.249828708563777,55766.9553330079,267.0,97.5,263.0,95.9,683.0,44.0,59.0,74.5,836.3765726625527
Community area,West Town,24,87942,-87.67635800,41.90121600,1400.0,2.3993009576,61.416807940150285,88181.67603039017,105.0,27.9,105.0,27.9,184.0,16.0,16.0,19.0,61.5714836903237
Community area,Austin,25,96753,-87.76311700,41.89411300,3700.0,5.0617586073,5.533700714364089,97671.11079977907,566.0,107.1,548.0,103.8,940.0,110.0,124.0,100.9,565.5803291059759
Community area,West Garfield Park,26,17423,-87.73023300,41.87860200,,,1.3008708350257514,15086.162549728782,173.0,185.9,169.0,181.3,644.0,24.0,56.0,126.1,461.4320222055759
Community area,East Garfield Park,27,19995,-87.70589200,41.87892300,,,7.75690375063104,20739.825816661003,157.0,149.2,155.0,147.0,601.0,35.0,48.0,163.3,286.93180040922505
Community area,Near West Side,28,67817,-87.66351300,41.87401600,,,41.64264003879064,68097.64749596105,154.0,54.9,147.0,51.9,381.0,17.0,41.0,29.0,125.43655563790624
Community area,North Lawndale,29,34817,-87.71721800,41.86019700,2500.0,10.658510512,3.9512614252968117,33979.92102222128,258.0,151.1,252.0,147.9,522.0,44.0,57.0,128.0,540.33138172486
Community area,Uptown,3,55120,-87.65589900,41.96582200,,,51.59389339035574,54490.99263491023,123.0,40.7,120.0,39.6,91.0,24.0,26.0,38.1,31.801695992360816
Community area,South Lawndale,30,71402,-87.71400000,41.83909100,1400.0,2.4542669123,5.857043342927916,69830.03688424261,116.0,33.0,115.0,32.7,128.0,19.0,23.0,25.5,81.3903826283892
Community area,Lower West Side,31,33716,-87.66757000,41.85027700,,,21.653637517089425,33412.04159156827,41.0,23.4,41.0,23.4,63.0,11.0,10.0,29.4,29.10012777834916
Community area,Loop,32,43440,-87.62519400,41.87888100,,,49.76416138740472,43756.84987517721,41.0,17.8,41.0,17.8,317.0,7.0,22.0,12.6,150.81752459734125
Community area,Near South Side,33,27296,-87.62034400,41.85719600,,,42.51328841287,28903.93689669003,40.0,27.8,39.0,27.2,34.0,6.0,5.0,21.5,41.34206831953277
Community area,Armour Square,34,13847,-87.63397600,41.84208300,600.0,4.8625781465,13.57796305514789,13821.73561594313,13.0,19.1,13.0,19.1,19.0,2.0,1.0,11.4,11.047358916214582
Community area,Douglas,35,20292,-87.61868000,41.83512200,,,10.275290669676531,21090.85063630398,61.0,59.6,61.0,59.6,96.0,9.0,9.0,43.2,36.414132666681866
Community area,Oakland,36,6803,-87.60321700,41.82375400,500.0,11.393656575,5.325818842990314,6940.063701843177,28.0,71.1,27.0,69.1,30.0,9.0,7.0,100.5,4.005856999502864
Community area,Fuller Park,37,2549,-87.63242700,41.80908200,400.0,9.937392481,3.3653592131831442,2340.5178060198177,28.0,179.4,28.0,179.4,55.0,9.0,12.0,239.1,12.97492271689286
Community area,Grand Boulevard,38,24586,-87.61786000,41.81294700,,,5.5919246491059615,25177.249063480947,96.0,69.4,93.0,67.4,220.0,12.0,11.0,42.6,40.82303626234095
Community area,Kenwood,39,19126,-87.59618600,41.80891800,,,20.51567216630005,18427.525297841814,44.0,43.7,44.0,43.7,41.0,4.0,7.0,22.5,12.003774464579196
Community area,Lincoln Square,4,40412,-87.68751300,41.97518200,,,62.078651441070555,41565.112883410984,34.0,15.6,32.0,14.7,31.0,5.0,8.0,10.4,17.38445982324075
Community area,Washington Park,40,12709,-87.61793600,41.79235600,,,1.9734400742447922,12314.668408889758,40.0,68.5,37.0,63.6,120.0,7.0,11.0,57.6,30.411779576507357
Community area,Hyde Park,41,29459,-87.59230500,41.79408800,,,40.7760750668276,30600.29143781308,36.0,25.5,36.0,25.5,31.0,9.0,8.0,31.1,5.406275837419453
Community area,Woodlawn,42,25285,-87.59492400,41.77887700,,,10.618616960328742,24802.56420049847,94.0,70.7,91.0,68.4,198.0,18.0,25.0,65.4,33.24040085382764
Community area,South Shore,43,51919,-87.57279000,41.76158300,2100.0,6.5123900505,3.3237550805310936,51377.594211150186,265.0,91.1,257.0,88.4,376.0,50.0,54.0,76.9,79.61410946474265
Community area,Chatham,44,31804,-87.61596500,41.74020600,800.0,3.3797953567,1.163842639258849,30021.415055746762,159.0,85.2,155.0,83.3,224.0,25.0,33.0,69.0,62.70552169487603
Community area,Avalon Park,45,9359,-87.58634700,41.74419700,,,0.012814310250511537,8939.367648010237,33.0,49.0,32.0,47.8,48.0,6.0,8.0,50.0,8.192087116763886
Community area,South Chicago,46,27254,-87.55143500,41.74124300,2000.0,6.1356462466,4.930347620910509,27507.14760924339,104.0,70.0,103.0,69.5,145.0,17.0,18.0,53.7,40.09952149577662
Community area,Burnside,47,2514,-87.59647000,41.72818100,,,0.0019494716653449859,2292.961298875095,6.0,38.5,6.0,38.5,9.0,1.0,1.0,41.1,3.1780970237455297
Community area,Calumet Heights,48,13085,-87.57272000,41.72967300,,,0.2403624808100669,11227.308474681895,36.0,58.3,34.0,55.1,26.0,6.0,5.0,51.6,7.006195085133076
Community area,Roseland,49,38934,-87.62336600,41.70658800,1900.0,6.3344610724,2.0331643723802033,36745.38198660812,155.0,70.8,152.0,69.6,294.0,29.0,32.0,67.5,100.08983429663994
Community area,North Center,5,35150,-87.68383900,41.94781100,,,73.56814455200593,36047.30896603488,18.0,10.3,17.0,9.8,22.0,0.0,1.0,0.0,9.19826779970429
Community area,Pullman,50,6866,-87.59825200,41.70613100,,,11.492436488959632,6783.760059864825,17.0,46.0,17.0,46.0,16.0,1.0,0.0,16.1,9.257239982463368
Community area,South Deering,51,14125,-87.57005800,41.69063900,,,5.760420807964865,12875.860807388364,58.0,78.8,57.0,77.8,46.0,7.0,7.0,52.2,16.352523769796626
Community area,East Side,52,21787,-87.53490700,41.70730600,,,13.59549562996319,22700.69460161811,33.0,31.4,32.0,30.5,9.0,5.0,5.0,22.5,10.115867576537651
Community area,West Pullman,53,25940,-87.63574500,41.67382000,,,0.8322440853065499,24421.3446098744,94.0,65.2,94.0,65.2,110.0,10.0,11.0,36.5,51.470947522356525
Community area,Riverdale,54,7229,-87.60284900,41.66013700,,,0.5354308875652832,7483.432139021165,20.0,72.4,19.0,66.6,23.0,4.0,2.0,64.7,4.400766337402871
Community area,Hegewisch,55,9884,-87.55680300,41.66818800,,,35.767045360562356,8767.938561774901,14.0,29.0,13.0,27.6,11.0,1.0,1.0,6.9,2.970984977717656
Community area,Garfield Ridge,56,35352,-87.76424600,41.79618500,2500.0,9.1066053776,32.54426985317507,36657.21624790593,46.0,25.5,46.0,25.5,83.0,8.0,9.0,23.2,25.993455402466644
Community area,Archer Heights,57,14282,-87.72636500,41.81087300,,,12.744558598226707,13492.19323405581,23.0,33.1,23.0,33.1,15.0,2.0,2.0,15.0,7.512967432556
Community area,Brighton Park,58,45141,-87.69885900,41.81736400,,,6.718798640857131,43145.712198140434,51.0,23.0,50.0,22.7,38.0,8.0,7.0,17.0,13.861634536843235
Community area,McKinley Park,59,15927,-87.67250000,41.82992700,,,13.816545111939224,14856.231386420193,27.0,32.7,25.0,30.0,35.0,2.0,2.0,9.4,8.2151075425277
Community area,Lake View,6,103048,-87.65600100,41.94423600,,,73.09965218472234,102824.82867705771,69.0,13.4,69.0,13.4,57.0,9.0,6.0,10.8,25.003969302525384
Community area,Bridgeport,60,33593,-87.64878400,41.83615100,,,31.850353210810447,33542.92299452535,36.0,20.8,36.0,20.8,26.0,7.0,6.0,19.4,15.10152851031812
Community area,New City,61,43510,-87.65917100,41.80901700,1000.0,3.8952027455,8.217070995755853,39952.20608706311,108.0,50.8,105.0,49.4,162.0,23.0,27.0,51.6,53.266958641386026
Community area,West Elsdon,62,18249,-87.72421300,41.79297700,,,13.59523359493732,17758.843491929718,26.0,27.8,25.0,26.6,12.0,4.0,3.0,23.5,8.925017574226448
Community area,Gage Park,63,39439,-87.69643300,41.79542900,1600.0,5.1220030585,3.6852366974057476,36010.47480631783,43.0,22.5,43.0,22.5,19.0,9.0,5.0,24.9,22.864356649288027
Community area,Clearing,64,24519,-87.76851700,41.77958200,1700.0,8.8423031993,30.15728341532397,23667.3678942933,31.0,24.6,30.0,24.0,17.0,6.0,7.0,25.9,6.97234981233804
Community area,West Lawn,65,33543,-87.72692700,41.76977400,,,8.908328462683595,31827.033515462826,29.0,18.1,29.0,18.1,25.0,7.0,3.0,22.2,8.980426306964299
Community area,Chicago Lawn,66,55789,-87.69566700,41.77184900,,,3.1650753973350843,54300.34535975418,152.0,54.7,149.0,53.7,189.0,29.0,38.0,52.7,135.09244501789806
Community area,West Englewood,67,29899,-87.66659800,41.77592600,500.0,2.167308162,0.6959498987361823,28311.705697493984,174.0,112.7,170.0,110.6,440.0,42.0,58.0,141.8,159.5199039865155
Community area,Englewood,68,24322,-87.64250200,41.77720100,,,1.005839722465768,23160.939521480697,164.0,127.4,157.0,122.3,260.0,29.0,37.0,121.6,129.20431532247494
Community area,Greater Grand Crossing,69,31543,-87.61613900,41.76325100,,,1.702740718532116,29219.18400720307,145.0,83.7,143.0,82.7,247.0,29.0,30.0,82.0,87.80040374598087
Community area,Lincoln Park,7,70425,-87.64949100,41.92269600,,,76.78768215952336,67920.59157719537,29.0,8.8,28.0,8.6,37.0,3.0,5.0,4.6,11.389808406539329
Community area,Ashburn,70,41280,-87.70836300,41.74575600,,,8.249467840909087,42179.86179958407,54.0,24.6,53.0,24.0,59.0,8.0,4.0,15.3,8.625232371392448
Community area,Auburn Gresham,71,44959,-87.65630500,41.74420300,1400.0,3.9002606968,0.5248697236131189,43860.69938776773,193.0,73.8,188.0,72.0,274.0,33.0,31.0,56.8,85.61710315278556
Community area,Beverly,72,19950,-87.67507200,41.71314800,,,57.04546529593645,19553.60888487051,20.0,18.8,20.0,18.8,7.0,2.0,3.0,11.4,6.740883257587787
Community area,Washington Heights,73,25075,-87.64889700,41.71749500,,,1.4642415460705465,24755.82899535278,88.0,62.5,86.0,61.6,82.0,13.0,14.0,40.5,48.94646608843413
Community area,Mount Greenwood,74,18633,-87.71318900,41.69487600,,,82.07389391092664,19064.084350424167,18.0,20.4,17.0,19.3,14.0,4.0,5.0,22.8,4.993695452145866
Community area,Morgan Park,75,21714,-87.66906200,41.68972900,,,28.305439984148617,21410.012942294346,38.0,36.2,38.0,36.2,37.0,5.0,2.0,25.1,29.797737263831056
Community area,O'Hare,76,14416,-87.89369900,41.97569600,,,61.231170868244845,15286.605098509346,13.0,17.8,13.0,17.8,11.0,1.0,4.0,4.6,17.170981899453874
Community area,Edgewater,77,56308,-87.66341900,41.98671900,,,51.63149909473251,56573.000668948356,84.0,26.3,82.0,25.6,62.0,15.0,20.0,21.7,17.2042763015413
Community area,Near North Side,8,97789,-87.63331800,41.89961100,1400.0,1.5261699342,66.26721526523627,99292.48607212082,109.0,20.5,109.0,20.5,203.0,15.0,26.0,14.5,117.88204828387268
Community area,Edison Park,9,11521,-87.81378000,42.00762700,,,79.44130448610738,11554.191910863192,19.0,36.5,19.0,36.5,1.0,1.0,1.0,10.3,0.3998701326774668
